,도서명,카테고리,정가,평점,리뷰수,태그
438,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,5,#하둡 #쿼리 #대시보드
439,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#로지스틱 회귀분석 #노드 #로지스틱 회귀
440,데이터 익명화,컴퓨터/IT,"25,000",0.0,0,#대용량 #수행 방법 #별첨
441,문과생을 위한 R언어 활용 데이터 시각화와 전자지도 개발 (컬러판),컴퓨터/IT,"16,800",10,0,#컨셉 #준수 사항 #프로토타입
442,Excel 2019를 활용한 데이터 분석,경제/경영,"37,000",7.5,0,#트랜잭션 #관계 데이터 모델 #데이터 검색
443,한국아동 청소년 패널조사2010 3 데이터 분석보고서 4,정치/사회,"5,000",10,5,#과학동화 #미래기술 #디지털 #인문학
444,맥 OS X과 아이폰 개발자를 위한 코어 데이터,컴퓨터/IT,"30,000",7.5,0,#탄소 중립 #에너지 #지구 온난
445,보건의료 데이터 활용 촉진을 위한 관련 법ㆍ제도 현황 및 사사점,정치/사회,"7,000",0.0,0,#소설 #투명 인간 #첨단 기술
446,데이터 기반 입법평가방법론 연구,정치/사회,"9,000",0.0,0,#보험 #금융 회사 #마이
447,디지털 데이터 정보 지식,정치/사회,"12,000",0.0,0,#주식 #부동산 #대시보드
448,데이터 사이언스 개론,컴퓨터/IT,"20,000",0.0,0,#네이버 #그래프 #인코딩
449,유클리드 데이터,과학,"26,000",0.0,0,#상관분석 #윈도우 #가설 검정
450,SMACK 스택을 이용한 빠른 데이터 처리 시스템,컴퓨터/IT,"30,000",0.0,0,#파이썬 #스트리밍 #제플린
451,데이터 마이닝과 CRM,경제/경영,"12,000",10,0,#평균의함정 #데이터과학 #마케팅 #리테일기업 #소매기업 #판매촉진
452,서비스 기반의 데이터 경제 활성화 방안,정치/사회,"8,500",0.0,0,#빅데이터 #인공지능
453,Excel+R 누구나 하는 데이터 분석,컴퓨터/IT,"22,000",0.0,0,#마케팅전략
454,일변량 시각화 데이터 분석법,컴퓨터/IT,"20,000",8.6,0,#랜덤 #로지스틱 회귀 #베이즈
455,데이터 저널리즘,정치/사회,"12,000",0.0,0,#제주도 #공공 데이터 #예제 프로그램
456,SAS 데이터 분석과 해석,컴퓨터/IT,"45,000",0.0,0,#디지털경영 #비즈니스
457,파이썬 데이터 분석,컴퓨터/IT,"28,000",0.0,0,#봉준호 #세그먼트 #소프트웨어
458,R을 활용한 데이터 마이닝: 회귀분석과 분류 알고리즘 (컬러판),기술/공학,"20,700",0.0,0,#모형 #동태 #추정
459,리모트센싱 데이터 해석의 기초,기술/공학,"25,000",0.0,0,#사회과학이론 #자료구조 #알고리즘
460,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#투자 #섹터 #초보 투자자
461,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",7.5,0,#사용자 인증 #정보 보안 #트리거
462,데이터 아키텍처 솔루션 1,컴퓨터/IT,"55,000",0.0,0,#트레이딩 #클라우드 #하둡
463,C언어 기반의 데이터 구조,컴퓨터/IT,"16,000",0.0,0,#비즈니스 모델 #인과 #금융 상품
464,프레스금형제작 CAM 데이터 생성,기술/공학,"13,000",0.0,0,#데이터분석
465,데이터 기반의 기업 R&D 선정평가모형 구축 및 도입방안 연구,정치/사회,"6,000",8.3,0,#경영전략
466,자바 데이터 사이언스 쿡북,컴퓨터/IT,"30,000",10,0,#데이터분석 #경제예측
467,인공지능 시대를 위한 데이터 사이언스 Hard Carry,컴퓨터/IT,"29,000",0.0,0,#아파치 #스파크 #얀 #알라파티 #샘알라파티 #샘R알라파티 #Alapati
468,SW를 활용한 데이터 분석,컴퓨터/IT,"18,000",0.0,0,#아키텍처 #이코노미 #공공 정책
469,고급 데이터 분석: R과 SPSS 23의 활용,컴퓨터/IT,"18,000",0.0,0,#4차산업혁명
470,데이터 주권과 마이데이터(큰글씨책),경제/경영,"22,000",0.0,0,#전산통계
471,열두살의 데이터,어린이(초등),"11,000",0.0,0,#경영 전략 #디지털 #포메이션
472,에너지 데이터 경영론,경제/경영,"23,000",0.0,0,#메타데이터 #아키텍처 #프레임워크
473,알기쉬운 R 데이터 분석,컴퓨터/IT,"29,000",0.0,0,#포스팅 #분석법 #혁신 전략
474,데이터 사회 비판,정치/사회,"12,000",0.0,0,#프로그래밍 #데이터 형식 #내장 함수
475,사회보장 정책 업무 지원을 위한 통합 데이터 관리 체계 구축 방안 연구,정치/사회,"6,000",0.0,4,#파이썬 #메소드 #자바
476,머신러닝을 활용한 R 데이터 분석,컴퓨터/IT,"28,000",0.0,0,#리눅스 #스트리밍 #아키텍처
477,데이터 이모션 2019,경제/경영,"17,000",0.0,0,#하둡 #쿼리 #리듀스
478,SPSS와 MATLAB을 활용한 환경통계 및 데이터 분석,컴퓨터/IT,"28,000",10,0,#hadoop #알고리즘 #algorithm #데이터베이스 #머신러닝 #machine #learning #딥러닝 #deep #learning
479,데이터 사회의 명암,정치/사회,"22,000",10,0,#아동학습만화 #초등수학 #4차산업혁명
480,포스트 팩트 시대의 팩트와 데이터,인문,"15,000",0.0,1,#차트 #자료 분석 #여호
481,R.D.G 레드 데이터 걸 4: 세계 유산의 소녀,소설,"9,000",0.0,0,#액세스 #연산자 #옵티마
482,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#하둡 #아키텍처 #프레임워크
483,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,0,#리팩토링 #프로시저 #리눅스
484,데이터 인사이트,컴퓨터/IT,"12,000",0.0,0,#엑셀 #차트 #파일
485,데이터 디자인,컴퓨터/IT,"17,000",0.0,0,#중국경제 #플랫폼 #혁신강국 #알리바바 #텐센트
486,다양한 예제로 학습하는 데이터 구조와 알고리즘,컴퓨터/IT,"39,000",10,0,#대시보드 #쿼리 #리소스
487,누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1,컴퓨터/IT,"16,000",0.0,0,#스트림 #하둡 #아키텍처
488,R을 이용한 시각화와 데이터 분석 개론,컴퓨터/IT,"27,800",0.0,0,#프레임 #회귀분석 #텍스트 파일
489,SAS 데이터 엔지니어링 (중급),컴퓨터/IT,"15,000",0.0,0,#마케팅 #인공지능 #딥 러닝
490,R을 이용한 누구나 하는 데이터 분석과 논문 쓰기,컴퓨터/IT,"20,000",0.0,0,#인공지능 #비즈니스 모델 #사업 모델
491,국경 간 데이터 이동에 관한 국제적 논의 동향과 대응 방안,정치/사회,"10,000",0.0,0,#스타트업 #실리콘밸리 #자회사
492,데이터 마이닝 모델링과 사례,컴퓨터/IT,"24,000",0.0,0,#모듈 #레이어 #위젯
493,AI와 데이터 분석 기초,경제/경영,"22,000",0.0,0,#법철학 #비교법 #공리
494,CCNA 자격증 취득을 위한 데이터 통신 이론 및 실습,컴퓨터/IT,"15,000",0.0,0,#마이닝 #환율 #상장
495,데이터 저널리즘,정치/사회,"25,000",0.0,0,#닌텐도 #기업 활동 #등락
496,전문가를 위한 데이터 모델링 실무,컴퓨터/IT,"23,000",0.0,0,#오라클 #아키텍처 #서버
497,데이터 기반 헬스케어 혁신의 부상과 대응전략,정치/사회,"6,000",0.0,0,#회귀분석 #자료 구조 #기초 통계
498,R과 SQL을 활용한 실전 데이터 전처리,컴퓨터/IT,"9,000",0.0,0,#빅데이터 #데이터분석
499,데이터 통신과 네트워크 원론,기술/공학,"20,000",0.0,0,#스칼라 #하둡 #스트리밍
500,시계열 데이터베이스를 활용한 IoT 데이터 처리의 모든 것,컴퓨터/IT,"20,000",0.0,0,#자료 구조 #데이터 모델링 #데이터 마이닝
501,AI(인공지능) 시대의 데이터 경제학,경제/경영,"25,000",10,0,#경영 전략 #자격증 #고객 중심
502,R&SPSS 사회과학 데이터 분석,정치/사회,"25,000",0.0,0,#인공지능 #블록체인 #정의
503,SPSS를 활용한 데이터 분석 입문,컴퓨터/IT,"22,000",10,1,#마케팅 #군사 #알고리즘
504,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#외부 데이터 #정책 제안 #수탁
505,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#이베이 #선곡 #이용자
506,데이터 시대의 사회과학,정치/사회,"19,000",0.0,0,#파이썬 #함수 사용 #예제
507,회사에서 바로 통하는 엑셀 실무 데이터 분석,컴퓨터/IT,"25,000",0.0,0,#욕망 #미래 전략 #글로벌 시장
508,데이터 시각화,컴퓨터/IT,"12,000",0.0,0,#인공지능 #하둡 #프레임워크
509,데이터 테크놀로지와 커뮤니케이션 연구(큰글씨책),정치/사회,"45,000",0.0,0,#사운드 #주가 #상한가
510,택시 DTG 데이터 이용한 OD 추정 활용방안,정치/사회,"6,000",8.5,0,#회귀분석 #로지스틱 #상관분석
511,데이터 모델 리소스 북 vol.1(Revised Edition),컴퓨터/IT,"41,000",0.0,0,#당구 #이명박 대통령 #사이비
512,불온한 데이터,예술/대중문화,"28,000",0.0,0,#회계 #산업 분류 #특허
513,지능정보사회 촉진을 위한 데이터 및 정보 관련 규제 개선 방안연구,정치/사회,"12,000",9.5,1,#경영 #첨단 기술 #포브스
514,비즈니스 인텔리전스 & 데이터 분석,경제/경영,"26,000",10,0,#과학 #연구 방법론 #기술 통계
515,D3.js 실시간 데이터 시각화,컴퓨터/IT,"30,000",10,0,#프라이어 #테네시 #미야코
516,청소년 빅데이터 체계 구축 및 활용방안 연구 데이터 분석 보고서 1,정치/사회,"5,000",10,0,#프로그래밍 #식별자 #정규
517,한국 아동 청소년 패널조사 6: 데이터 분석보고서(1),정치/사회,"5,000",0.0,0,#스턴스 #엔터 프라이즈 #대시보드
518,데이터 통신 및 컴퓨터 네트워크,기술/공학,"30,000",0.0,0,#패러다임전환 #학습분석 #학습관리 #웹 #소셜미디어 #데이터마이닝
519,엑셀2010으로 데이터 관리하기,컴퓨터/IT,"10,000",10,0,#도커 #파싱 #표현식
520,다변량 시각화 데이터 분석법,컴퓨터/IT,"20,000",7.5,0,#성능 평가 #레코드 #역자 서문 감사
521,누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1,컴퓨터/IT,"18,000",0.0,0,#부동산투자 #투자전략 #투자방법 #투자노하우 #투자처
522,d3.js를 이용한 데이터 시각화,컴퓨터/IT,"20,000",7.5,0,#인사관리 #예제데이터 #실제분석
523,파이썬을 활용한 데이터 분석과 응용,컴퓨터/IT,"30,000",8.8,0,#인공지능 #권리관계 #면책
524,아파치 카프카로 데이터 스트리밍 애플리케이션 제작,컴퓨터/IT,"30,000",0.0,0,#빈출선지 #무료특강 #근현대사극복노트 #연표정리 #문화재정리
525,예제로 배우는 R 데이터 분석 입문,컴퓨터/IT,"25,000",0.0,0,#방송대 #방송통신대 #한국방송통신대 #방송통신대학교 #한국방송통신대학교
526,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#투자자 #투자 #낙찰
527,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,0,#인공지능 #미국 기업 #적성 검사
528,R과 데이터 사이언스,컴퓨터/IT,"22,000",8.3,0,#뷰어 #공산당 선언 #구글
529,4차 산업혁명 대응을 위한 데이터 주도의 혁신적 초용 사회안전망 개편 방안,정치/사회,"9,000",0.0,0,#심박수 #유니온 #웨어 러블
530,예제로 배우는 데이터 분석,컴퓨터/IT,"17,000",0.0,0,#파이썬 #엑셀 #자바 스크립트
531,엑셀을 활용한 통계 데이터 분석,컴퓨터/IT,"15,000",0.0,0,#아이패드 #오브젝트 #메모장
532,설계자를 위한 완벽한 데이터 관리 솔루션 SOLIDWORKS PDM Standard (컬러판),컴퓨터/IT,"43,000",10,0,#로지스틱 회귀분석 #참고 사항 #군집 분석
533,데이터 기반 PR기획,경제/경영,"28,000",0.0,0,#파이썬 #도서 #알고리즘
534,데이터 통신 및 컴퓨터 통신,기술/공학,"38,000",0.0,0,#버블 #난민 #전문 서적
535,JMP 데이터 전처리와 통계 기초,컴퓨터/IT,"29,000",0.0,1,#프로그래밍 #관계 데이터 모델 #톰캣
536,R를 이용한 사회과학 데이터 분석: 고급편,정치/사회,"32,000",0.0,0,#프로그래밍 #관계 데이터 모델 #이클립스
537,리얼월드 데이터 활용의 정석(큰글씨책),기술/공학,"35,000",0.0,0,#쿼리 #무결성 #트랜잭션
538,애자일 데이터 웨어하우스 디자인,컴퓨터/IT,"27,000",0.0,0,#쿼리 #요약 연습 문제 #도서
539,시맨틱 데이터 아카이브의 구축과 활용,인문,"27,000",0.0,0,#미국 대학 #교육학 #컨설팅
540,데이터 마이닝 가볍게 따라하기,컴퓨터/IT,"20,000",0.0,0,#정부 간행물 #제언 #연구 방법
541,개인주도 데이터 유통 활성화를 위한 제도 연구,정치/사회,"10,000",0.0,0,#AI마케팅 #빅데이터마케팅 #인공지능 #마케터
542,미니탭 매크로와 함께 하는 데이터 탐색,컴퓨터/IT,"25,000",7.9,1,#경영 전략 #통계학 #마케팅 전략
543,R과 함께한 데이터 여행: 입문,컴퓨터/IT,"13,000",0.0,1,#하둡 #마이닝 #하이브
544,데이터 시대의 언론학 연구(큰글씨책),정치/사회,"43,000",10,0,#재무빅테이터분석사 #FDA #한국공인회계사회 #FDA자격시험 #python #fraudit
545,데이터 경제 활성화를 위한 건축행정정보 개방 범위 확대방안 연구,정치/사회,"21,000",0.0,0,#재무빅테이터분석사 #FDA #한국공인회계사회 #FDA자격시험 #python #fraudit
546,ICT 기반 신산업 발전을 위한 데이터 거래 활성화 방안,정치/사회,"10,000",10,7,#데이터 모델 #쿼리 #트랜잭션
547,데이터 사이언스를 활용한 출산정책 관련 여론 분석,정치/사회,"13,000",0.0,0,#인공지능 #비트코인 #하둡
548,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#마이닝 #프로그래밍 기초 #전처리
549,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,0,#관계 #성능 평가 #레코드
550,불량식품 예방ㆍ관리 데이터 마이닝 시스템 중장기 전략 보고서,기술/공학,"30,000",7.8,3,#보건의료 #빅데이터 #건강정보 #의료정보
551,데이터 사이언스 가이드,인문,"20,000",0.0,0,#경제적관점 #연결 #창조 #참여적소비 #거버넌스 #거래시장 #기반제도 #밸류체인 #개인정보보호
552,정책수립시 데이터 활용 강화방안 연구,정치/사회,"10,000",0.0,0,#청소년교양과학 #청소년자기계발 #의료 #산업 #교육 #에너지 #교통
553,일반 관리자를 위한 데이터 관리 및 활용 전략,컴퓨터/IT,"20,000",0.0,0,#아동학습만화 #과학학습만화
554,"데이터 시대, 사람의 마음을 읽는 법",정치/사회,"18,000",0.0,0,#식별자 #무결성 #스케줄링
555,금속재료 규격 데이터 북,기술/공학,"90,000",8.4,10,#파이썬 #연구윤리 #연구법
556,데이터 3법 개정에 따른 항만 물류 데이터 활용도 제고 방안,정치/사회,"15,000",10,0,#레시피 #패드 #보물섬
557,데이터 이론,기술/공학,"20,000",0.0,2,#청소년진로 #미래직종 #유망직종 #진로탐색
558,문과생을 위한 R언어 활용 데이터 마이닝,컴퓨터/IT,"19,200",0.0,0,#산정 기준 #진단 방법 #추진 배경
559,데이터 통신과 컴퓨터 네트워크,기술/공학,"28,000",8.8,0,#창업 #습관 #경제 불황
560,Pandas로 하는 데이터 과학,컴퓨터/IT,"35,000",10,1,#정부 간행물 #소결 #가처분
561,데이터 시대의 언론학 연구,정치/사회,"32,800",9.7,6,#튜플 #파싱 #정규 표현식
562,"빅 데이터 산업개발동향과 발전현황 및 혁신기술, 이슈분석과 미래전망",정치/사회,"400,000",10,0,#루루 #기본 조작 #티코
563,프로젝트 성패를 결정짓는 데이터 모델링 이야기,컴퓨터/IT,"20,000",8.3,0,#빅데이터 #산업경제
564,비즈니스 인텔리전스와 다차원 데이터 분석,경제/경영,"6,000",10,0,#인물 이야기 #측우기 #정부 간행물
565,데이터 AI 기반 바이오경제에 대한 한국의 사회적 수용성 현황과 과제,정치/사회,"5,000",10,1,#과학이야기
566,데이터 사회 미학,정치/사회,"18,000",0.0,0,#엔터 #프라이즈 #머신 러닝
567,데이터 경제시대 빅데이터 활용과 블록체인 암호화폐 정책 기술전망,기술/공학,"380,000",10,0,#인공지능 #포지셔닝 #바둑
568,파이썬을 이용한 웹크롤링과 데이터 분석,컴퓨터/IT,"25,000",0.0,0,#로지스틱 회귀분석 #단순 회귀분석 #다중 회귀분석
569,데이터 사이언스 디자인 매뉴얼,과학,"32,000",8.8,0,#설명
570,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#코어 #기록 관리 #디지털
571,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",7.5,0,#인공지능 #웨어 러블 디바이스 #해외 기술 동향
572,핀테크와 GDPR 2: 개인 데이터 주권을 위한 접근법,경제/경영,"19,000",0.0,0,#파이썬 #스톰 #하둡
573,R로 토닥토닥 배우는 데이터 시각화,컴퓨터/IT,"25,000",0.0,2,#파이썬 #하이브 #조인
574,데이터 과학 입문과 토픽,컴퓨터/IT,"18,000",10,0,#방송대 #방송통신대 #한국방송통신대 #방송통신대학교 #한국방송통신대학교
575,데이터 사이언스 입문,컴퓨터/IT,"18,000",10,8,#CRM #마케팅
576,Big 데이터 노후경영,경제/경영,"9,500",10,0,#시각화 #학회지 #대응 방안
577,범주형 데이터 분석,컴퓨터/IT,"7,000",8.8,0,#프로그래밍 #기업 문화 #글로벌 인재
578,데이터 기반 디지털 경제 미래예측 방법론 연구,정치/사회,"35,000",10,0,#주식투자 #투자자 #해외 시장
579,R Studio로 의료패널 데이터 다루기,컴퓨터/IT,"22,000",2.5,6,#아동학습만화 #과학학습만화
580,데이터 분석을 위한 머신 러닝 입문,컴퓨터/IT,"22,000",10,0,#방송대 #방송통신대 #한국방송통신대 #방송통신대학교 #한국방송통신대학교
581,EXCEL을 활용한 유형별 데이터 통계분석,컴퓨터/IT,"26,000",5.7,0,#방송대 #방송통신대 #한국방송통신대 #방송통신대학교 #한국방송통신대학교
582,데이터 통신과 네트워크,기술/공학,"19,000",6.4,0,#야후 #설치 방법 #컴퓨터 환경
583,SPSS 단계별 입력에 의한 사회과학 이산형 데이터 분석,과학,"15,000",10,0,#확률론 #행정학 #초보자
584,환경통계 및 데이터 분석,컴퓨터/IT,"28,000",10,2,#성공 #리더 #의사 결정
585,청소년 빅데이터 체계 구축 및 활용방안 연구 데이터 분석 보고서 2,정치/사회,"5,000",8.9,10,#프로시저 #시노 #트랜잭션
586,토닥토닥 태블로(Tableau)를 활용한 데이터 시각화,컴퓨터/IT,"25,000",0.0,5,#인공지능 #근린 #이니셔티브
587,데이터 시대의 사회과학,정치/사회,"26,000",10,0,#프로그래밍 #테이블 생성 #사용자 정의 함수
588,품질특성관리  데이터 해석,기술/공학,"99,000",0.0,0,#기후변화 #자연재해 #식량 #위기 #감염병 #인권
589,데이터 은닉의 기술 데이터 하이딩,컴퓨터/IT,"22,000",8.7,1,#오라클 #인젝션 #컨텍스트
590,콘텐츠 이용자 데이터 개발 기반연구,정치/사회,"8,500",10,0,#아동학습만화
591,데이터 시각화와 자료분석,컴퓨터/IT,"28,000",8.7,4,#인공지능 #알고리즘 #신경망
592,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#해운 #야드 #항만
593,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,1,#선형 대수학 #부동소수점 #선형 회귀
594,신경회로망을 이용한 데이터 분석,컴퓨터/IT,"9,000",0.0,0,#식별자 #오라클 #데이터 관리
595,국가기술자격 실기검정과 실무 KS 데이터 미니 핸드북,기술/공학,"20,000",9.5,46,#참고 문헌 부록 #스키마 #색인
596,다양한 예제로 학습하는 데이터 구조와 알고리즘 for Java,컴퓨터/IT,"39,000",0.0,0,#아키텍처 #덤프 #쿼리
597,빅 데이터 어떻게 활용할 것인가,경제/경영,"13,000",0.0,0,#액세스 #요구사항 #개념 원리
598,데이터 통신,기술/공학,"34,000",10,8,#4차산업혁명 #빅데이터 #구글 #애플 #인공지능 #사물인터넷 #글로벌IT기업 #테크노필리아 #테크노포비아 #가상현실
599,데이터 관리를 위한 STATA,컴퓨터/IT,"25,000",7.5,0,#성공 #실증 분석 #분석법
600,빅 데이터 세상을 이해하는 새로운 방법,경제/경영,"14,000",8.9,6,#관계 #명령어 #기본 함수
601,데이터 구조 에센스,컴퓨터/IT,"29,000",8.5,0,#민법 #권리관계 #조성호
602,AI 관점에서 바라본 빅 데이터,컴퓨터/IT,"29,000",10,3,#방정식 #확률분포 #퍼지
603,똑똑한 프로그래머를 위한 똑똑한 데이터 구조,컴퓨터/IT,"25,000",0.0,4,#프로그래밍 #코딩 #자연어
604,R로 하는 빅데이터 분석: 데이터 전처리와 시각화,컴퓨터/IT,"25,000",0.0,0,#랜덤 #엑세스 #조인
605,빅 데이터 활용에 필수적인 R통계분석입문,컴퓨터/IT,"24,000",8.4,1,#클래스 #플러그인 #스턴스
606,누구나 활용 가능한 데이터 분석론,컴퓨터/IT,"20,000",0.0,0,#파이썬 #하둡 #사용 사례
607,알통(R을 활용하여 배우는) 통계 기반 데이터 분석,컴퓨터/IT,"23,000",2.5,0,#정의 #정책 제언 #미래 산업
608,"데이터 경제 시대, 데이터 거래 활용방안 및 전망",기술/공학,"380,000",0.0,0,#딥 러닝 #트위터 #포털
609,2022 공개적 빅데이터분석기사 필기,컴퓨터/IT,"35,000",0.0,0,#인공지능 #디지털 경제 #딥 러닝
610,빅데이터 전문가 마스터플랜,청소년,"12,500",7.5,0,#산업 동향 #업체 #현황
611,뉴스를 전합니다 빅데이터와 인공지능,컴퓨터/IT,"15,000",0.0,0,#관계 #데이터 처리 #응용 분야
612,학교에서 통계와 데이터과학은 어떻게 가르쳐야 할까?,인문,"17,000",9.8,16,#프로그래밍 #유닉스 #리눅스
613,STATA 고급 패널데이터 분석,컴퓨터/IT,"30,000",10,0,#모리 #화폐 #군사
614,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,0,#패킷 #지엽 #기본 소양
615,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",7.5,0,#윈도우즈 #애플리케이션 개발 #데이터 입력
616,소상공인을 위한 빅데이터 상권분석,경제/경영,"15,000",6.3,0,#성공 #메타데이터 #품질 향상
617,빅데이터는 어떻게 마케팅의 무기가 되는가,경제/경영,"18,000",0.0,0,#사회학 #변화 추이 #진로 교육
618,데이터베이스 배움터,컴퓨터/IT,"27,000",9.7,1,#약문 #기본 입장 #정부 간행물
619,정보통신과 데이터통신 개론,컴퓨터/IT,"29,000",0.0,0,#도서 #기업 경영 #변량
620,정책 기반 시스코 ACI 데이터센터,컴퓨터/IT,"30,000",10,3,#고객 #프로파일링 #우량
621,데이터를 지배하라,경제/경영,"17,000",9.2,0,#프로그래밍 #식별자 #트랜잭션
622,빅데이터 시각화,컴퓨터/IT,"28,000",8.5,12,#데이터비즈니스 #의료데이터 #금융데이터 #교통데이터 #미래산업 #미래비즈니스
623,실무로 배우는 빅데이터 기술,컴퓨터/IT,"30,000",10,0,#경영 활동 #경영 기법 #소셜 미디어
624,빅데이터에서 천금의 기회를 캐라,컴퓨터/IT,"25,000",0.0,0,#서블릿 #응용 프로그램 #메소드
625,"R을 이용한 웹 데이터 수집, 분석, 시각화 웹 스크레이핑과 데이터분석",컴퓨터/IT,"35,000",7.9,0,#거시 경제 #실증 분석 #영향 분석
626,데이터는 언제나 옳다,컴퓨터/IT,"25,000",0.0,0,#스레드 #바이더 #메 서드
627,빅데이터 분석을 위한 데이터마이닝 방법론,컴퓨터/IT,"25,000",8.3,0,#쿼리 #유틸리티 #데이터 모델
628,데이터 분석을 중심으로 한 빅데이터 입문,컴퓨터/IT,"20,000",7.5,1,#로지스틱 회귀분석 #마이닝 #상관분석
629,신제품 마케팅을 위한 Small Data(스몰데이터),경제/경영,"23,000",0.0,0,#개인 사업자 #감사 #간접 경험
630,기초가 든든한 데이터베이스,컴퓨터/IT,"27,000",0.0,0,#군집 분석 #사례 분석 #인공 신경망
631,"어린이를 위한 미래 과학, 빅데이터 이야기",어린이(초등),"12,000",8.1,0,#일회 #저널리즘 #사회 구성원
632,지속가능한 미래를 위한 기후변화 데이터북,정치/사회,"14,800",9.6,1,#정보 공개 청구 #국문 요약 #경찰 활동
633,빅데이터 소년과  여중생 김효정,청소년,"12,000",5.0,0,#개선 방안 #정책 현황 #산업 육성
634,R고 보면 쉬운 빅데이터와 인공지능,컴퓨터/IT,"18,000",10,1,#외교정책
635,마이데이터 레볼루션,경제/경영,"17,000",5.0,0,#정부 간행물 #소셜 #비교
636,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",0.0,6,#해부학 #임베디드 #교육학
637,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",7.5,0,#신용 #멀티미디어 #보험 상품
638,금융 데이터를 위한 파이썬,컴퓨터/IT,"24,000",0.0,0,#법제 #정부 간행물 #주요 국가
639,"파이썬을 이용한 빅데이터 수집, 분석과 시각화",컴퓨터/IT,"24,000",9.3,9,#프로그래밍 #테이블 생성 #사용자 정의 함수
640,이훈영교수의 SPSS를 이용한 데이터분석,컴퓨터/IT,"26,000",0.0,0,#디자인 #일반 사용 #프로세싱
641,빅데이터 분석을 위한 스칼라와 스파크,컴퓨터/IT,"50,000",7.5,0,#임베디드 #데이터 웨어 하우스 #메타데이터
642,돈이 되는 빅데이터 읽기,경제/경영,"16,500",6.3,8,#커뮤니케이션 #화폐 #발전 방안
643,데이터를 철학하다,인문,"16,000",7.5,14,#크롤링 #예제 #파일 입출력
644,마케터가 알려주는 돈이 되는 빅데이터 분석,경제/경영,"15,000",10,0,#경영학 #신사업 #클라우드 컴퓨팅
645,R 데이터마이닝,컴퓨터/IT,"27,000",10,0,#방송대 #방송통신대 #한국방송통신대 #방송통신대학교 #한국방송통신대학교
646,데이터분석을 위한 R 프로그래밍,컴퓨터/IT,"14,000",0.0,0,#부동산 #거시경제 #주식투자
647,1년 안에 AI 빅데이터 전문가가 되는 법: 심화편,자기계발,"18,500",10,2,#역사 #스포츠 산업 #광주
648,마이데이터 제대로 알기,경제/경영,"19,000",0.0,0,#박근혜 #파급 효과 #인덱싱
649,빅데이터를 활용한 예측마케팅 전략,경제/경영,"18,000",0.0,0,#정부 간행물 #산불 #유지비
650,패널데이터강의,경제/경영,"35,000",10,0,#환경 #트랜잭션 #데이터 조작
651,사회과학자를 위한 데이터과학,정치/사회,"30,000",0.0,0,#고객 관계 관리 #웨어 #마이
652,데이터베이스 시스템(전산 공무원)(2021),취업/수험서,"40,000",9.2,0,#간호 #통계학 #분산분석
653,빅데이터 주식사전,경제/경영,"18,000",0.0,0,#쿼리 #데이터 모델링 #매크로
654,"데이터베이스 시스템보안, 원리와 실제",컴퓨터/IT,"23,000",0.0,0,#이용한 #고급 기법 #피벗
655,빅데이터 비즈니스 성공 지도,컴퓨터/IT,"25,000",0.0,0,#정책 제언 #대응 방향 #골격계
656,빅 데이터가 만드는 세상,경제/경영,"23,000",6.3,0,#노드 #윈도우 #메타데이터
657,빅데이터 사용 설명서,경제/경영,"13,800",0.0,0,#프로그래밍 #쿼리 #독도
658,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,0,#말뭉치 #일반 논문 #세종
659,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",10,1,#요리 #동계 올림픽 #평창
660,빅데이터 경영을 바꾸다,경제/경영,"15,000",0.0,0,#정부 간행물 #신용 #국내 사례
661,나는 감이 아니라 데이터로 말한다,경제/경영,"15,800",9.4,6,#임베디드 #향후 출제 #데이터 마이닝
