,도서명,카테고리,정가,평점,리뷰수,태그
2094,이렇게 하면 나도 프로그램을 잘 만들 수 있다,컴퓨터/IT,"27,000",10,0,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
2095,R 응용 다변량분석,컴퓨터/IT,"25,000",8.3,14,#자본 #미래상 #빅데이터
2096,텐서플로 2와 머신러닝으로 시작하는 자연어 처리,컴퓨터/IT,"35,000",9.5,256,#고급 활용 #국가 공인 #아키텍처
2097,들쥐인간,정치/사회,"7,900",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
2098,자동화기계설계 실무 활용서,기술/공학,"35,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
2099,유쾌한 파이썬,컴퓨터/IT,"24,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
2100,"지금, 한국을 읽다",정치/사회,"13,500",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
2101,Immutable.js 마스터,컴퓨터/IT,"20,000",9.0,0,#크롤링 #엑셀 파일 #네이버
2102,센티언트 엔터프라이즈,컴퓨터/IT,"20,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
2103,워드캐스트 9급 공무원 영단어 필수 2500,취업/수험서,"19,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
2104,시원스쿨 LAB 빅아이엘츠 Reading START,외국어,"19,800",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
2105,오라클 교과서,컴퓨터/IT,"38,000",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
2106,디지털 르네상스,정치/사회,"26,000",10,0,#급 합격 #빈출 #단기 합격
2107,수빅보카 Complete,중/고등참고서,"12,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
2108,현장 실무자 수험생을 위한 메카피아 기계설계 KS 규격집,기술/공학,"23,000",10,0,#스레드 #디자인 패턴 #무결성
2109,D3를 이용한 시각적 스토리텔링,컴퓨터/IT,"25,000",9.9,1,#사실충실성 #탈진실 #편견
2110,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
2111,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",0.0,7,#모의고사 #인사이트 #마이닝
2112,"아파트 경매, 지역 분석이 먼저다!",경제/경영,"18,000",9.5,0,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
